,FIPS,State,County,Percent_Change_Groc_Stor_09_16,"SNAP-authorized stores (% change), 2012-16","SNAP-authorized stores/1,000 pop (% change), 2012-16",WICS12,SNAPS16,GROC14,SUPERC14,CONVS14,SPECS14
34,1069,AL,Houston,14.28571429,14.53168044,13.81183998,21,138.5833333,16,3,67,6
35,1071,AL,Jackson,-26.66666667,-4.236006051,-2.617837371,11,52.75,11,1,47,0
36,1073,AL,Jefferson,0,7.81084756,7.890620143,94,594.6666667,108,19,459,35
37,1075,AL,Lamar,-25,12.83783784,15.60243783,4,13.91666667,3,0,9,0
38,1077,AL,Lauderdale,13.33333333,14.15289256,14.42987265,16,92.08333333,17,2,50,2
39,1079,AL,Lawrence,-28.57142857,-1.840490798,-0.086587884,6,26.66666667,5,1,19,1
40,1081,AL,Lee,30.76923077,17.8807947,9.180847881,15,103.8333333,17,3,76,3
41,1083,AL,Limestone,-25,20.93959732,14.29106835,9,75.08333333,9,1,56,2
42,1085,AL,Lowndes,50,-1,3.769357019,2,16.5,3,0,6,0
43,1087,AL,Macon,-20,31.41025641,42.30394006,4,17.08333333,4,0,14,0
44,1089,AL,Madison,25.71428571,25.30208715,20.42749066,35,285.1666667,44,12,213,13
45,1091,AL,Marengo,-25,-5.211726384,-1.70408326,6,24.25,3,1,20,0
46,1093,AL,Marion,-40,15.69343066,16.96228654,7,26.41666667,3,2,24,1
47,1095,AL,Marshall,10.52631579,20.93457944,20.45036835,14,107.8333333,21,3,71,3
48,1097,AL,Mobile,0,10.55755396,10.3176958,55,512.25,60,9,229,25
49,1099,AL,Monroe,-14.28571429,1.628664495,6.688856243,6,26,6,1,15,0
50,1101,AL,Montgomery,12.12121212,17.55659974,19.53016746,28,229.3333333,37,6,141,13
51,1103,AL,Morgan,-27.27272727,28.90365449,30.40160221,18,129.3333333,16,2,95,4
52,1105,AL,Perry,-20,-36,-31.94234385,4,12,4,0,6,0
53,1107,AL,Pickens,0,4.529616725,-0.196948802,7,25,4,0,8,0
54,1109,AL,Pike,-33.33333333,-1.867219917,-2.173829577,7,39.41666667,6,1,20,0
55,1111,AL,Randolph,-25,35.77981651,35.9176823,4,24.66666667,3,1,18,2
56,1113,AL,Russell,50,20.82018927,20.08910376,11,63.83333333,12,1,38,0
57,1115,AL,St. Clair,27.27272727,12.02531646,8.484553321,12,73.75,14,3,56,0
58,1117,AL,Shelby,0,26.45850452,20.64598359,26,128.25,26,5,98,4
59,1119,AL,Sumter,0,23.15270936,26.80762489,5,20.83333333,3,0,17,0
60,1121,AL,Talladega,28.57142857,6.722689076,8.933005059,12,95.25,9,2,73,0
61,1123,AL,Tallapoosa,20,30.99273608,32.4111513,8,45.08333333,6,1,36,0
62,1125,AL,Tuscaloosa,-22.22222222,14.23877327,10.07832732,22,173.8333333,21,4,112,3
63,1127,AL,Walker,-16.66666667,20.16021362,22.47955895,10,75,10,2,45,0
64,1129,AL,Washington,-33.33333333,-9.615384615,-7.711244652,4,15.66666667,2,0,9,0
65,1131,AL,Wilcox,-30,-9.090909091,-5.408536484,6,19.16666667,7,0,8,0
66,1133,AL,Winston,0,2.950819672,4.261220779,7,26.16666667,8,0,18,0
67,2013,AK,Aleutians East,0,0,-4.095873786,3,5,4,0,0,0
68,2016,AK,Aleutians West,0,-26.15384615,-27.46155208,3,4,3,0,1,0
69,2020,AK,Anchorage,-13.51351351,5.23297491,5.380488538,25,122.3333333,32,12,60,19
70,2050,AK,Bethel,-12,-11.01321586,-12.11267412,16,50.5,22,0,7,0
71,2060,AK,Bristol Bay,-33.33333333,-50,-44.82182628,1,1,2,0,1,0
72,2068,AK,Denali,0,,,0,,0,0,4,0
73,2070,AK,Dillingham,20,-9.259259259,-7.793926345,6,8.166666667,6,0,3,0
74,2090,AK,Fairbanks North Star,-12.5,9.364548495,9.002554611,8,27.25,7,4,27,7
75,2100,AK,Haines,0,0,2.243589744,2,3,3,0,0,0
76,2105,AK,Hoonah-Angoon,,-14.28571429,-12.18204317,2,6,4,0,3,1
77,2110,AK,Juneau,-14.28571429,-10.75949367,-10.51761969,5,11.75,6,3,9,5
78,2122,AK,Kenai Peninsula,-9.523809524,9.803921569,6.789784591,11,37.33333333,19,2,24,7
79,2130,AK,Ketchikan Gateway,33.33333333,0,0.240069838,3,8,4,0,4,5
80,2150,AK,Kodiak Island,25,-10.74380165,-7.448368172,3,9,5,0,1,2
81,2164,AK,Lake and Peninsula,0,36,44.01024328,3,8.5,1,0,0,0
82,2170,AK,Matanuska-Susitna,-23.07692308,19.81776765,7.831972662,8,43.83333333,10,3,21,3
83,2180,AK,Nome,13.33333333,-9.912536443,-9.930704733,18,25.75,17,0,1,0
84,2185,AK,North Slope,-20,-5.769230769,-5.406276526,8,12.25,8,0,3,0
85,2188,AK,Northwest Arctic,16.66666667,11.84210526,13.83902543,14,21.25,7,0,3,0
86,2195,AK,Petersburg,,33.33333333,62.76066476,3,4,3,0,4,2
87,2198,AK,Prince of Wales-Hyder,,-10.63829787,-19.02959683,4,7,6,0,6,1
88,2220,AK,Sitka,0,0,2.446206116,3,3.166666667,4,0,2,0
89,2230,AK,Skagway,,0,-11.85661765,0,1,2,0,1,0
90,2240,AK,Southeast Fairbanks,-25,-14.28571429,-10.94490152,3,6,3,0,6,0
91,2261,AK,Valdez-Cordova,0,-3.571428571,0.159960296,5,15.75,8,0,7,2
92,2270,AK,Wade Hampton,-17.64705882,-10.34482759,,16,19.5,14,0,1,0
93,2275,AK,Wrangell,,-20,-20.26545002,2,2,2,0,1,0
94,2282,AK,Yakutat,0,0,11.14808652,2,2,2,0,0,0
95,2290,AK,Yukon-Koyukuk,-25,-13.01518438,-9.174378191,10,33.41666667,9,0,4,0
96,4001,AZ,Apache,-10,-15.40616246,-15.31012777,30,50.33333333,9,0,40,1
97,4003,AZ,Cochise,11.76470588,-9.210526316,-4.649757494,16,92,19,3,56,7
98,4005,AZ,Coconino,10.52631579,24.83870968,20.50016849,23,96.75,21,3,77,8
99,4007,AZ,Gila,-22.22222222,-5.323193916,-6.051531434,9,41.5,7,2,33,1
100,4009,AZ,Graham,-14.28571429,2.97029703,2.469125074,5,26,6,1,17,2
101,4011,AZ,Greenlee,100,3.47826087,-5.251674589,1,9.916666667,2,0,6,0
102,4012,AZ,La Paz,-36.36363636,5.670103093,5.482864637,7,34.16666667,7,1,18,1
103,4013,AZ,Maricopa,-3.515625,2.403119281,-4.857250116,419,2144.833333,494,95,984,203
104,4015,AZ,Mohave,0,18.15224463,17.04986875,20,151.3333333,19,4,90,12
105,4017,AZ,Navajo,-22.22222222,3.184079602,0.434404785,25,86.41666667,14,2,57,1
106,4019,AZ,Pima,-0.78125,8.623384003,6.07809297,87,637.1666667,127,13,290,52
107,4021,AZ,Pinal,-12.12121212,5.467091295,-2.388637121,30,165.5833333,29,6,75,10
108,4023,AZ,Santa Cruz,-11.11111111,9.463722397,12.60111907,5,28.91666667,8,1,17,6
109,4025,AZ,Yavapai,-5.882352941,7.592592593,1.427395178,22,145.25,32,5,72,17
110,4027,AZ,Yuma,-8.823529412,5,2.135913359,26,112,31,6,65,5
111,5001,AR,Arkansas,-20,13.48837209,17.71287612,5,20.33333333,4,1,16,1
112,5003,AR,Ashley,-50,-12.30769231,-7.891409781,6,19,4,1,16,0
113,5005,AR,Baxter,0,28.10650888,28.06283124,5,36.08333333,7,1,20,2
114,5007,AR,Benton,0,6.357279085,-4.358291623,21,139.4166667,30,8,86,10
115,5009,AR,Boone,0,14.35079727,14.42130092,4,41.83333333,4,1,24,4
116,5011,AR,Bradley,0,2.564102564,6.304390408,2,10,3,0,5,0
117,5013,AR,Calhoun,-100,-14.28571429,-11.56965119,1,4,0,0,3,0
118,5015,AR,Carroll,0,-0.701754386,-0.83105833,5,23.58333333,5,1,17,4
119,5017,AR,Chicot,-40,3.910614525,8.543632331,4,15.5,3,0,10,0
120,5019,AR,Clark,-60,25.3164557,26.85961195,4,16.5,2,1,11,1
121,5021,AR,Clay,33.33333333,-15.78947368,-11.4773529,3,12,4,0,9,0
122,5023,AR,Cleburne,-11.11111111,10.90225564,13.29027128,4,24.58333333,8,1,16,1
123,5025,AR,Cleveland,-50,31.50684932,37.66649545,1,8,1,0,5,0
124,5027,AR,Columbia,-25,7.818930041,10.39925839,6,21.83333333,3,1,16,1
125,5029,AR,Conway,0,19.57446809,21.5733726,3,23.41666667,4,1,16,0
126,5031,AR,Craighead,5.263157895,14.0776699,7.502588064,17,97.91666667,20,5,39,2
127,5033,AR,Crawford,0,8.131868132,7.574424708,9,41,8,2,26,4
128,5035,AR,Crittenden,-18.18181818,7.417218543,9.132054204,13,67.58333333,9,1,29,1
129,5037,AR,Cross,-25,13.80952381,18.12489344,4,19.91666667,3,1,13,0
130,5039,AR,Dallas,50,11.11111111,18.81703634,1,10,3,0,8,2
131,5041,AR,Desha,-33.33333333,-1.809954751,3.721296535,3,18.08333333,4,0,8,0
132,5043,AR,Drew,0,27.37430168,28.00260234,2,19,2,1,12,1
133,5045,AR,Faulkner,-9.090909091,21.75182482,18.24252099,10,69.5,10,3,47,3
134,5047,AR,Franklin,0,37.90849673,41.18681627,1,17.58333333,2,1,10,1
135,5049,AR,Fulton,0,18.75,20.66010888,1,9.5,1,0,6,0
136,5051,AR,Garland,-5.555555556,24.34367542,23.61146916,12,86.83333333,17,4,49,8
137,5053,AR,Grant,-33.33333333,12.60504202,12.00720527,2,11.16666667,2,1,11,0
138,5055,AR,Greene,25,33.14447592,28.86037522,4,39.16666667,5,1,16,1
139,5057,AR,Hempstead,-62.5,11.73469388,13.76355266,4,18.25,3,1,16,0
140,5059,AR,Hot Spring,-14.28571429,-0.879765396,-0.820365723,5,28.16666667,6,1,14,1
141,5061,AR,Howard,-80,58.95522388,63.20923974,4,17.75,1,1,11,0
142,5063,AR,Independence,20,-8.375634518,-8.728149699,5,30.08333333,6,1,21,2
143,5065,AR,Izard,0,-7.943925234,-7.662953071,4,16.41666667,4,0,9,0
144,5067,AR,Jackson,-25,2.4,4.65362058,5,21.33333333,3,0,12,0
145,5069,AR,Jefferson,13.33333333,-0.292397661,6.410694264,9,85.25,17,1,39,2
146,5071,AR,Johnson,100,19.29824561,18.04492129,2,22.66666667,2,2,11,0
147,5073,AR,Lafayette,-33.33333333,-28.26086957,-21.97439691,1,8.25,2,0,7,2
148,5075,AR,Lawrence,-20,-20.14925373,-18.8275533,5,17.83333333,4,0,11,1
149,5077,AR,Lee,0,13.86861314,24.94970481,1,13,1,0,0,0
150,5079,AR,Lincoln,0,35.29411765,39.20338219,1,9.583333333,1,0,5,0
151,5081,AR,Little River,-33.33333333,6.944444444,10.96420189,3,12.83333333,2,1,7,0
152,5083,AR,Logan,-33.33333333,15.6626506,16.67639722,2,16,2,0,19,0
153,5085,AR,Lonoke,-27.27272727,21.85686654,17.82635131,7,52.5,8,2,33,1
154,5087,AR,Madison,33.33333333,28.73563218,25.31539108,2,9.333333333,4,0,6,1
155,5089,AR,Marion,-25,-1.481481481,-0.015019001,4,11.08333333,3,1,6,0
156,5091,AR,Miller,-36.36363636,24.48036952,24.04541173,5,44.91666667,7,1,26,0
157,5093,AR,Mississippi,-26.66666667,-2.453102453,3.757015199,11,56.33333333,11,2,33,0
158,5095,AR,Monroe,-40,-13.63636364,-5.697510747,3,14.25,3,0,7,0
159,5097,AR,Montgomery,-66.66666667,15.6626506,21.66788564,1,8,1,0,4,0
160,5099,AR,Nevada,0,1.052631579,7.393991051,1,8,1,0,7,0
161,5101,AR,Newton,33.33333333,-6.930693069,-5.171570584,1,7.833333333,4,0,4,1
162,5103,AR,Ouachita,-33.33333333,26.92307692,33.75958426,7,33,4,1,14,0
163,5105,AR,Perry,0,-16.88311688,-15.18501238,1,5.333333333,1,0,4,0
164,5107,AR,Phillips,-22.22222222,-4.580152672,4.516790876,4,31.25,7,1,11,1
165,5109,AR,Pike,-20,12.70718232,17.02526584,4,17,4,0,7,0
166,5111,AR,Poinsett,-16.66666667,5.329153605,6.574355271,6,28,5,1,17,0
167,5113,AR,Polk,-33.33333333,5.882352941,7.446470384,3,16.5,4,1,12,1
168,5115,AR,Pope,0,17.95511222,16.07978517,8,39.41666667,7,1,33,4
169,5117,AR,Prairie,-33.33333333,-2.02020202,0.437902232,4,8.083333333,2,0,7,1
170,5119,AR,Pulaski,-12.5,23.13069909,21.78526332,45,337.5833333,63,10,220,25
171,5121,AR,Randolph,-16.66666667,11.80555556,14.89417762,2,13.41666667,5,1,9,0
172,5123,AR,St. Francis,33.33333333,-0.227790433,6.102237522,6,36.5,8,1,22,1
173,5125,AR,Saline,-20,29.78142077,22.28337115,11,79.16666667,12,2,32,0
174,5127,AR,Scott,0,-1.910828025,5.085315115,2,12.83333333,2,0,4,0
175,5129,AR,Searcy,50,-25.51724138,-25.14328502,2,9,3,0,4,1
176,5131,AR,Sebastian,0,8.091603053,7.677990462,15,118,19,5,60,10
177,5133,AR,Sevier,0,10.16949153,11.90900981,3,21.66666667,4,1,14,0
178,5135,AR,Sharp,0,-5.294117647,-5.862673099,4,13.41666667,3,1,6,0
179,5137,AR,Stone,0,1.801801802,2.808534669,3,9.416666667,2,1,5,0
180,5139,AR,Union,-40,-8.979591837,-6.74327424,6,37.16666667,6,1,35,4
181,5141,AR,Van Buren,-66.66666667,48.38709677,51.97451636,4,15.33333333,1,1,10,1
182,5143,AR,Washington,26.92307692,18.82893226,10.15941047,26,172.5,33,4,70,11
183,5145,AR,White,-20,26.45429363,25.22585405,14,76.08333333,12,1,40,1
184,5147,AR,Woodruff,0,19.79166667,28.07119912,3,9.583333333,2,0,6,0
185,5149,AR,Yell,-50,21.4953271,23.63750529,3,21.66666667,2,1,13,0
186,6001,CA,Alameda,5.013927577,2.087522743,-3.673527916,187,888.4166667,377,6,313,128
187,6003,CA,Alpine,0,,,0,,0,0,0,0
188,6005,CA,Amador,-7.692307692,15.53672316,14.4611867,9,34.08333333,12,0,12,5
189,6007,CA,Butte,-9.803921569,6.228373702,3.734958749,27,204.6666667,46,1,70,14
190,6009,CA,Calaveras,20,22.64150943,21.47675312,9,37.91666667,12,0,21,5
191,6011,CA,Colusa,-18.18181818,11.50793651,10.593683,10,23.41666667,9,0,14,3
192,6013,CA,Contra Costa,2.083333333,6.420927467,1.2148544,133,522.0833333,196,5,206,73
193,6015,CA,Del Norte,-12.5,-5.182926829,-2.600762527,7,25.91666667,7,1,4,1
194,6017,CA,El Dorado,0,18.74422899,15.50479047,19,107.1666667,33,0,57,13
195,6019,CA,Fresno,17.37089202,3.282135674,-0.092742743,287,941.4166667,250,8,291,77
196,6021,CA,Glenn,80,36.93379791,36.48035859,7,32.75,9,1,14,3
197,6023,CA,Humboldt,4.651162791,9.486999297,8.029533644,27,129.8333333,45,1,43,12
198,6025,CA,Imperial,-17.07317073,12.69709544,10.24543845,31,113.1666667,34,4,68,5
199,6027,CA,Inyo,0,-2.659574468,-0.77650076,4,15.25,4,0,15,2
200,6029,CA,Kern,-1.069518717,7.131360654,3.664800466,240,721.0833333,185,6,275,40
201,6031,CA,Kings,3.333333333,3.632478632,4.724949065,23,121.25,31,1,38,4
202,6033,CA,Lake,-8.333333333,16.90363349,16.66113266,15,61.66666667,22,0,33,2
203,6035,CA,Lassen,-30,1.048951049,10.17510834,7,24.08333333,7,0,15,3
204,6037,CA,Los Angeles,2.417365565,-0.788659794,-2.502472266,1602,6415.666667,2076,51,1931,782
205,6039,CA,Madera,5.555555556,0.241691843,-1.364668682,36,138.25,38,0,49,6
206,6041,CA,Marin,10.9375,9.941520468,8.008851701,20,109.6666667,71,1,41,15
207,6043,CA,Mariposa,11.11111111,-22.35294118,-20.145285,2,11,10,0,8,0
208,6045,CA,Mendocino,-9.615384615,1.663747811,1.431712964,19,96.75,47,0,37,11
209,6047,CA,Merced,12.28070175,4.751299183,2.268898628,76,235.1666667,64,3,76,17
210,6049,CA,Modoc,0,17.59259259,24.70564083,4,10.58333333,5,0,5,0
211,6051,CA,Mono,-16.66666667,34.375,37.90233174,3,10.75,5,0,12,2
212,6053,CA,Monterey,5.607476636,2.65678097,0.658989138,93,276.9166667,113,5,110,41
213,6055,CA,Napa,20,3.072625698,0.809850739,23,61.5,42,2,38,17
214,6057,CA,Nevada,3.846153846,4.845814978,3.983622204,11,59.5,27,0,34,12
215,6059,CA,Orange,0.379506641,17.49684299,14.44510392,448,1395.666667,529,25,626,199
216,6061,CA,Placer,13.79310345,22.57142857,16.50004711,37,214.5,66,3,119,23
217,6063,CA,Plumas,11.11111111,9.811320755,14.36247444,6,24.25,10,0,14,1
218,6065,CA,Riverside,6.686046512,16.59529773,10.7864837,287,1202.583333,367,27,446,104
219,6067,CA,Sacramento,7.228915663,7.449437174,2.884648841,170,978.4166667,267,18,360,79
220,6069,CA,San Benito,-25,22.81368821,17.58396742,10,26.91666667,9,0,11,2
221,6071,CA,San Bernardino,-0.917431193,11.25452749,8.198648277,279,1407.833333,324,16,478,90
222,6073,CA,San Diego,0.160771704,7.779710775,3.209414351,511,1652.083333,623,25,728,221
223,6075,CA,San Francisco,13.4375,-7.114050653,-11.91616273,65,479.8333333,363,1,107,174
224,6077,CA,San Joaquin,0,8.785750985,4.175053149,112,529.3333333,158,10,164,47
225,6079,CA,San Luis Obispo,8.955223881,13.7774903,10.52649801,36,146.5833333,73,1,89,38
226,6081,CA,San Mateo,4.191616766,7.050645482,3.483303101,74,269.5,174,4,144,60
227,6083,CA,Santa Barbara,13.67521368,9.154929577,5.504525686,58,232.5,133,2,97,35
228,6085,CA,Santa Clara,2.339181287,6.243532253,1.710280331,159,770,350,11,370,127
229,6087,CA,Santa Cruz,1.428571429,14.28571429,10.99993707,26,156.6666667,71,1,58,30
230,6089,CA,Shasta,-2.631578947,12.94797688,12.29090412,24,162.8333333,37,3,84,8
231,6091,CA,Sierra,-50,20.83333333,26.53263206,1,2.416666667,1,0,2,0
232,6093,CA,Siskiyou,-5,27.25490196,28.86298973,14,54.08333333,19,1,30,3
233,6095,CA,Solano,-8,8.468197215,3.67566453,47,240.1666667,69,7,115,26
234,6097,CA,Sonoma,13.00813008,10.02932551,7.57074192,69,312.6666667,139,2,136,72
235,6099,CA,Stanislaus,4.6875,3.716913835,-0.081596522,127,460.4166667,134,4,143,38
236,6101,CA,Sutter,-8,-9.932088285,-11.45013392,16,88.41666667,23,2,38,7
237,6103,CA,Tehama,-16.66666667,11.33428981,11.56302516,9,64.66666667,10,0,28,4
238,6105,CA,Trinity,42.85714286,42.55319149,50.85076421,3,22.33333333,10,0,7,0
239,6107,CA,Tulare,10.90909091,6.870373885,4.906753752,111,469.25,122,4,160,29
240,6109,CA,Tuolumne,7.692307692,12.12121212,12.54632414,8,40.08333333,14,0,22,6
241,6111,CA,Ventura,8.125,8.585247884,6.827285718,125,449,173,4,184,58
242,6113,CA,Yolo,-4.761904762,13.13193588,7.006721385,33,152.9166667,40,2,53,14
243,6115,CA,Yuba,9.090909091,2.450980392,-0.746061826,18,69.66666667,12,1,24,6
244,8001,CO,Adams,34.69387755,7.450076805,-0.87288428,34,233.1666667,66,11,122,21
245,8003,CO,Alamosa,0,-5.405405405,-8.279481595,4,11.66666667,4,1,8,0
246,8005,CO,Arapahoe,22.07792208,9.48404414,2.348233707,43,305.9166667,94,15,149,33
247,8007,CO,Archuleta,-25,40.77669903,32.19034987,1,12.08333333,3,0,6,2
248,8009,CO,Baca,-50,-10.14492754,-5.536329369,2,5.166666667,1,0,2,0
249,8011,CO,Bent,0,-28.57142857,-29.64389305,1,4.583333333,2,0,4,0
250,8013,CO,Boulder,22.44897959,11.89562548,6.024183586,19,121.5,60,5,73,21
251,8014,CO,Broomfield,16.66666667,3.196347032,-9.571154846,6,18.83333333,7,2,14,6
252,8015,CO,Chaffee,0,-0.561797753,-5.299434842,3,14.75,7,1,18,0
253,8017,CO,Cheyenne,0,0,1.406926407,2,2,2,0,2,0
254,8019,CO,Clear Creek,-50,56.25,49.46084146,1,6.25,1,0,10,1
255,8021,CO,Conejos,-25,-25.47169811,-24.13314084,2,6.583333333,3,0,2,0
256,8023,CO,Costilla,0,-18.84057971,-21.61060024,1,9.333333333,2,0,4,0
257,8025,CO,Crowley,0,70.83333333,60.96256293,1,3.416666667,1,0,1,0
258,8027,CO,Custer,100,-7.692307692,-14.77284124,1,3,2,0,2,1
259,8029,CO,Delta,-33.33333333,14.56953642,14.53190107,5,14.41666667,6,1,11,3
260,8031,CO,Denver,12.14953271,-0.515222482,-8.954906628,33,354,120,8,215,47
261,8033,CO,Dolores,0,100,93.9688716,1,2,1,0,1,0
262,8035,CO,Douglas,13.04347826,11.80400891,1.455830585,16,83.66666667,26,9,57,22
263,8037,CO,Eagle,28.57142857,17.64705882,13.03827686,7,18.33333333,18,2,19,9
264,8039,CO,Elbert,0,-23.40425532,-29.01437526,2,3,1,1,6,2
265,8041,CO,El Paso,11.32075472,10.85932902,3.881938677,42,313.9166667,59,14,180,46
266,8043,CO,Fremont,0,-0.327868852,-1.710161613,5,25.33333333,6,1,16,2
267,8045,CO,Garfield,37.5,22.96918768,18.9305644,7,36.58333333,11,1,27,4
268,8047,CO,Gilpin,-50,-72.09302326,-74.16334357,0,1,1,0,1,0
269,8049,CO,Grand,-28.57142857,9.009009009,3.103870128,3,10.08333333,5,0,12,1
270,8051,CO,Gunnison,-16.66666667,-6.504065041,-11.82047821,2,9.583333333,5,0,5,4
271,8053,CO,Hinsdale,100,,,0,1,2,0,3,0
272,8055,CO,Huerfano,33.33333333,-8.955223881,-10.05970596,2,10.16666667,4,0,5,0
273,8057,CO,Jackson,100,100,98.67354458,1,2,2,0,2,0
274,8059,CO,Jefferson,16.98113208,9.466506217,4.397642856,42,227.4166667,62,14,154,31
275,8061,CO,Kiowa,0,16.66666667,22.69968439,1,1.166666667,2,0,1,0
276,8063,CO,Kit Carson,0,-11.66666667,-12.75533862,4,8.833333333,5,0,4,0
277,8065,CO,Lake,0,2.739726027,-1.036478132,1,6.25,2,0,6,0
278,8067,CO,La Plata,-21.42857143,18.14671815,11.30298937,5,25.5,11,1,24,10
279,8069,CO,Larimer,19.35483871,5.424528302,-3.724648687,24,111.75,37,8,92,40
280,8071,CO,Las Animas,0,-4.761904762,0.924153253,3,11.66666667,4,1,8,0
281,8073,CO,Lincoln,50,-12.5,-15.44612795,2,7,3,0,6,0
282,8075,CO,Logan,-25,-11.86440678,-9.001477706,3,8.666666667,3,1,8,2
283,8077,CO,Mesa,25,16.64392906,14.90689567,12,71.25,20,3,49,20
284,8079,CO,Mineral,0,0,-3.142076503,0,1,1,0,2,0
285,8081,CO,Moffat,0,-7.894736842,-7.255360921,3,11.66666667,2,1,9,0
286,8083,CO,Montezuma,75,46.35761589,37.85771806,5,18.41666667,7,1,12,0
287,8085,CO,Montrose,28.57142857,9.638554217,7.666323949,7,22.75,9,1,8,3
288,8087,CO,Morgan,20,7.473309609,8.225934469,5,25.16666667,6,1,16,1
289,8089,CO,Otero,0,-11.32075472,-9.367339257,5,15.66666667,4,1,14,2
290,8091,CO,Ouray,-25,12.5,4.925880173,2,3,3,0,3,1
291,8093,CO,Park,0,-25,-29.96766865,1,3,4,0,6,1
292,8095,CO,Phillips,100,5.882352941,7.833077261,2,3,4,0,3,1
293,8097,CO,Pitkin,75,-6.25,-8.832455498,1,3.75,7,0,6,3
294,8099,CO,Prowers,-25,-7.100591716,-3.461602983,4,13.08333333,3,1,9,0
295,8101,CO,Pueblo,6.25,-1.412429379,-3.96245278,14,116.3333333,17,4,58,13
296,8103,CO,Rio Blanco,0,50,57.15049656,2,9,1,0,6,1
297,8105,CO,Rio Grande,-33.33333333,10.48951049,14.95567765,3,13.16666667,4,0,8,1
298,8107,CO,Routt,0,5.405405405,-0.213821416,3,13,9,0,10,5
299,8109,CO,Saguache,100,-27.10280374,-28.07263653,1,6.5,4,0,4,0
300,8111,CO,San Juan,,0,-0.576368876,0,1,1,0,1,0
301,8113,CO,San Miguel,16.66666667,15.38461538,9.095095998,2,5,7,0,4,2
302,8115,CO,Sedgwick,0,0,-0.997091816,1,1,1,0,0,0
303,8117,CO,Summit,22.22222222,26.20689655,16.52552205,3,15.25,11,0,19,6
304,8119,CO,Teller,0,25.1572327,21.75279773,5,16.58333333,4,1,12,3
305,8121,CO,Washington,0,60,55.37082315,1,2,1,0,3,0
306,8123,CO,Weld,0,4.692082111,-6.397543081,15,119,29,4,75,9
307,8125,CO,Yuma,-20,-10.9375,-10.79645279,4,9.5,4,0,4,1
308,9001,CT,Fairfield,9.644670051,2.037414336,0.91975214,160,459.0833333,216,5,248,94
