,State,County,State_abb,"Population Estimate, 2012","Population Estimate, 2016",%change_Pop_2012_2016,Percent_Change_Groc_Stor_12_16,"SNAP-authorized stores (% change), 2012-16","SNAP-authorized stores/1,000 pop (% change), 2012-16","Fast-food restaurants (% change), 2012-16",percentage_Change_FSerResta_2012 -2016,Fast Food Restaurant,Full Service Restaurant,WIC-authorized stores,SNAPS Autorized Stores,Grocery Stores,Super Centres,Convenient Stores,Specialized Food Stores,SNAPAuthStores(%),SNAP redemptions_SNAP-authorized stores(Dollars per Store),SNAP participants (% pop),Farmer Market(Count),Farmers' _markets_acceptin_g SNAP,Adult Diabetes Rate(%),Adult Obesity(%),No. of Recreation and Fitness Facilities,Population>65 Yrs(%),Poulation<18(%),Median House Hold Income,Poverty Rate(%),Persistent Poverty Counties,Child Poverty Rate(%),Population Loss Counties,PCH_REDEMP_SNAPS_12_16,PCH_SNAP_12_16
20, Alabama,Crenshaw ,AL,13920,13913,-0.05,-25.0,-9.05,-7.94,66.66666667,-33.33333333,5,6,5,18.42,3,0,7,0,,159004.89,16.98,1,0.0,16.5,39.7,0,15.89,23.79,36759.0,19.9,0,29.6,0.0,-5.1291507439999995,-1.848239474
21, Alabama,Cullman ,AL,80351,82471,2.57,50.0,5.38,2.78,6.0,9.090909091,53,48,11,81.67,15,1,49,4,,171700.81,16.98,1,1.0,14.4,33.4,3,15.93,23.18,39290.0,19.4,0,24.7,0.0,-23.51523066,-1.848239474
22, Alabama,Dale ,AL,50296,49226,-2.17,14.29,42.6,46.13,3.03030303,-3.225806452,34,30,8,52.17,8,1,32,0,,213683.62,16.98,2,0.0,14.1,36.5,2,13.45,24.83,45294.0,18.5,0,29.0,0.0,-37.16227427,-1.848239474
23, Alabama,Dallas ,AL,42748,40008,-6.85,-11.11,-13.49,-7.32,-5.0,-6.25,19,15,10,48.08,8,1,31,0,,513411.19,16.98,1,1.0,19.0,40.8,2,14.07,26.46,29682.0,34.6,1,50.1,1.0,1.642463574,-1.848239474
24, Alabama,DeKalb ,AL,70961,70900,-0.09,16.67,-2.19,-1.94,4.87804878,-11.42857143,43,31,11,82.0,14,1,50,3,,205211.91,16.98,2,0.0,13.4,30.4,3,13.89,25.83,37305.0,20.6,0,28.9,0.0,-9.511560862,-1.848239474
25, Alabama,Elmore ,AL,80291,81799,1.84,0.0,13.81,12.19,55.17241379,11.76470588,45,38,10,74.83,10,2,56,0,,246114.45,16.98,2,0.0,13.4,35.4,4,11.9,23.59,53548.0,14.0,0,19.9,0.0,-29.68511001,-1.848239474
26, Alabama,Escambia ,AL,38063,37728,-0.89,-50.0,6.31,7.06,22.72727273,0.0,27,20,6,44.92,4,1,29,0,,261083.09,16.98,3,0.0,17.8,37.7,2,15.17,22.65,36840.0,24.4,1,32.0,0.0,-18.32671702,-1.848239474
27, Alabama,Etowah ,AL,104215,102564,-1.61,-31.58,16.42,18.49,-3.658536585,5.555555556,79,57,17,117.58,13,2,68,5,,182275.73,16.98,3,0.0,16.8,35.1,9,15.81,22.97,42145.0,19.0,0,30.7,0.0,-32.82348938,-1.848239474
28, Alabama,Fayette ,AL,16966,16546,-2.54,0.0,-6.58,-4.11,-25.0,80.0,9,9,5,11.83,5,1,8,0,,392463.5,16.98,1,0.0,15.1,33.7,0,17.89,22.26,37085.0,20.4,0,29.4,0.0,-3.304390568,-1.848239474
29, Alabama,Franklin ,AL,31652,31628,-0.08,33.33,5.69,6.14,-18.18181818,-5.882352941000001,18,16,7,32.5,8,1,16,1,,260103.02,16.98,2,1.0,13.9,33.2,3,15.22,24.81,38535.0,21.1,0,32.4,0.0,-25.37415454,-1.848239474
30, Alabama,Geneva ,AL,27012,26614,-1.5,-9.09,37.77,39.41,0.0,37.5,10,11,7,31.92,10,0,14,1,,220298.64,16.98,0,0.0,13.9,34.1,0,17.45,22.36,36289.0,22.4,0,34.8,0.0,-36.78298224,-1.848239474
31, Alabama,Greene ,AL,8837,8422,-4.93,-60.0,12.09,18.13,0.0,-33.33333333,1,2,2,17.0,2,0,12,0,,105611.96,16.98,2,0.0,21.0,46.3,0,16.08,24.26,25398.0,37.7,1,54.7,1.0,-29.55479074,-1.848239474
32, Alabama,Hale ,AL,15393,14952,-2.95,-25.0,-3.31,-0.5,40.0,-20.0,7,4,3,14.58,3,0,15,0,,247637.09,16.98,1,0.0,16.0,40.4,1,15.04,24.84,35470.0,28.5,1,38.6,0.0,-16.30464174,-1.848239474
33, Alabama,Henry ,AL,17237,17164,-0.43,-25.0,-14.69,-14.08,0.0,22.22222222,10,11,3,15.0,3,0,15,1,,140676.93,16.98,2,0.0,18.7,35.8,0,17.59,22.64,42501.0,17.0,0,27.5,0.0,3.4578834639999996,-1.848239474
34, Alabama,Houston ,AL,103382,104056,0.65,14.29,14.53,13.81,16.86746988,2.666666667,97,77,21,138.58,16,3,67,6,,266446.71,16.98,3,0.0,13.7,32.8,7,14.45,24.55,43568.0,18.3,0,29.5,0.0,-19.29862531,-1.848239474
35, Alabama,Jackson ,AL,53087,52138,-1.82,-26.67,-4.24,-2.62,-3.333333333,-13.79310345,29,25,11,52.75,11,1,47,0,,172164.3,16.98,1,0.0,14.9,32.0,0,16.48,22.52,40201.0,18.4,0,26.9,0.0,-21.9369361,-1.848239474
36, Alabama,Jefferson ,AL,657639,659521,0.29,0.0,7.81,7.89,11.07266436,2.173913043,642,376,94,594.67,108,19,459,35,,294128.45,16.98,17,4.0,13.0,33.2,70,13.13,23.47,48415.0,18.0,0,26.2,0.0,-19.37971521,-1.848239474
37, Alabama,Lamar ,AL,14257,13918,-2.44,-25.0,12.84,15.6,-14.28571429,0.0,6,10,4,13.92,3,0,9,0,,177098.63,16.98,1,0.0,14.9,33.6,0,18.76,22.16,36520.0,24.7,0,33.8,0.0,-26.68564215,-1.848239474
38, Alabama,Lauderdale ,AL,92694,92318,-0.41,13.33,14.15,14.43,18.03278689,14.75409836,72,70,16,92.08,17,2,50,2,,197129.67,16.98,1,0.0,14.2,32.9,9,16.78,21.55,43008.0,17.3,0,23.9,0.0,-28.08444235,-1.848239474
39, Alabama,Lawrence ,AL,33788,33244,-1.64,-28.57,-1.84,-0.09,-36.0,13.33333333,16,17,6,26.67,5,1,19,1,,228470.09,16.98,1,1.0,15.6,35.5,2,14.56,23.19,41771.0,18.7,0,26.4,0.0,-14.66325505,-1.848239474
40, Alabama,Lee ,AL,148289,158991,6.73,30.77,17.88,9.18,18.51851852,15.95744681,128,109,15,103.83,17,3,76,3,,249131.59,16.98,4,1.0,9.5,29.0,8,9.07,22.53,46442.0,21.0,0,20.7,0.0,-26.53747636,-1.848239474
41, Alabama,Limestone ,AL,87368,92753,5.81,-25.0,20.94,14.29,13.33333333,11.42857143,51,39,9,75.08,9,1,56,2,,175281.12,16.98,1,0.0,12.6,32.9,6,12.31,23.99,55060.0,14.3,0,18.8,0.0,-33.51424832,-1.848239474
42, Alabama,Lowndes ,AL,10835,10358,-4.61,50.0,-1.0,3.77,-100.0,0.0,0,2,2,16.5,3,0,6,0,,107953.75,16.98,1,0.0,23.5,45.1,1,14.65,24.18,31117.0,35.2,1,46.7,0.0,-15.07242975,-1.848239474
43, Alabama,Macon ,AL,20632,18963,-8.8,-20.0,31.41,42.3,-10.0,-60.0,9,2,4,17.08,4,0,14,0,,310090.24,16.98,1,0.0,18.4,44.7,0,14.13,20.6,29522.0,32.2,1,46.1,1.0,-40.73554878,-1.848239474
44, Alabama,Madison ,AL,342773,356967,3.98,25.71,25.3,20.43,10.0,1.801801802,330,226,35,285.17,44,12,213,13,,237181.86,16.98,7,3.0,11.5,32.3,49,12.21,23.74,59117.0,13.3,0,19.1,0.0,-21.20961899,-1.848239474
45, Alabama,Marengo ,AL,20451,19673,-3.95,-25.0,-5.21,-1.7,18.75,-25.0,19,9,6,24.25,3,1,20,0,,376333.16,16.98,3,0.0,20.2,40.3,1,16.28,24.69,35389.0,23.3,1,34.8,1.0,-4.921525141,-1.848239474
46, Alabama,Marion ,AL,30520,29998,-1.74,-40.0,15.69,16.96,-34.61538462,0.0,17,20,7,26.42,3,2,24,1,,284759.96,16.98,2,0.0,18.7,35.5,2,18.34,21.66,34977.0,19.8,0,30.4,0.0,-22.30026205,-1.848239474
47, Alabama,Marshall ,AL,94182,95157,1.02,10.53,20.93,20.45,1.428571429,-14.28571429,71,60,14,107.83,21,3,71,3,,276264.44,16.98,3,0.0,12.8,33.2,4,14.9,25.0,40599.0,20.1,0,32.7,0.0,-23.84705314,-1.848239474
48, Alabama,Mobile ,AL,413760,414836,0.26,0.0,10.56,10.32,0.0,2.358490566,253,217,55,512.25,60,9,229,25,,270103.01,16.98,5,0.0,15.6,37.1,30,12.91,25.08,42530.0,18.4,0,26.9,0.0,-20.7999992,-1.848239474
49, Alabama,Monroe ,AL,22593,21530,-4.94,-14.29,1.63,6.69,-10.0,25.0,9,10,6,26.0,6,1,15,0,,270652.6,16.98,2,0.0,17.8,35.3,1,15.68,25.32,35163.0,28.6,1,35.7,0.0,-17.54832549,-1.848239474
50, Alabama,Montgomery ,AL,228708,226349,-1.04,12.12,17.56,19.53,24.26035503,1.438848921,210,141,28,229.33,37,6,141,13,,395557.02,16.98,3,0.0,13.5,34.8,19,11.96,24.49,42666.0,22.8,0,33.8,0.0,-19.46707709,-1.848239474
51, Alabama,Morgan ,AL,120123,119012,-0.93,-27.27,28.9,30.4,-1.0,17.54385965,99,67,18,129.33,16,2,95,4,,195545.1,16.98,3,1.0,12.6,31.6,9,14.12,23.96,47234.0,16.4,0,24.0,0.0,-32.03456169,-1.848239474
52, Alabama,Perry ,AL,10184,9574,-6.37,-20.0,-36.0,-31.94,-50.0,20.0,1,6,4,12.0,4,0,6,0,,243663.69,16.98,1,0.0,21.7,43.0,0,16.7,24.11,26218.0,40.0,1,54.4,1.0,10.03619912,-1.848239474
53, Alabama,Pickens ,AL,19359,20324,4.75,0.0,4.53,-0.2,33.33333333,0.0,8,6,7,25.0,4,0,8,0,,146601.67,16.98,2,0.0,16.4,36.4,1,16.89,23.3,33160.0,24.3,1,35.3,0.0,-23.11534424,-1.848239474
54, Alabama,Pike ,AL,33113,33286,0.52,-33.33,-1.87,-2.17,10.0,10.0,33,22,7,39.42,6,1,20,0,,275970.53,16.98,1,0.0,13.5,38.4,2,12.8,20.31,34442.0,25.9,1,36.0,0.0,-12.26320669,-1.848239474
55, Alabama,Randolph ,AL,22623,22652,0.13,-25.0,35.78,35.92,-18.18181818,-58.82352941,9,7,4,24.67,3,1,18,2,,239700.58,16.98,2,1.0,14.9,30.9,0,16.97,23.89,37333.0,18.7,0,31.7,0.0,-38.21344809,-1.848239474
56, Alabama,Russell ,AL,57626,58172,0.94,50.0,20.82,20.09,0.0,-16.0,44,21,11,63.83,12,1,38,0,,359483.41,16.98,1,0.0,12.9,36.4,3,12.69,25.5,36124.0,23.0,0,36.3,0.0,-32.53141827,-1.848239474
57, Alabama,St. Clair ,AL,85168,88019,3.24,27.27,12.03,8.48,2.083333333,-8.333333332999999,49,44,12,73.75,14,3,56,0,,210076.53,16.98,1,0.0,12.8,33.0,2,13.05,23.72,53558.0,12.4,0,17.5,0.0,-32.34385914,-1.848239474
58, Alabama,Shelby ,AL,200789,210622,4.67,0.0,26.46,20.65,10.15625,-0.7518796990000001,141,132,26,128.25,26,5,98,4,,190094.98,16.98,8,1.0,8.7,30.1,27,10.57,25.61,70879.0,8.5,0,10.2,0.0,-26.78797228,-1.848239474
59, Alabama,Sumter ,AL,13448,13040,-3.13,0.0,23.15,26.81,0.0,20.0,7,6,5,20.83,3,0,17,0,,183035.53,16.98,1,0.0,20.1,40.3,1,14.99,22.29,25931.0,33.2,1,44.2,1.0,-30.88218587,-1.848239474
60, Alabama,Talladega ,AL,81941,80103,-2.29,28.57,6.72,8.93,0.0,-17.77777778,49,37,12,95.25,9,2,73,0,,203738.25,16.98,1,1.0,15.3,39.0,0,14.09,23.44,37911.0,22.4,0,31.1,0.0,-27.88577927,-1.848239474
61, Alabama,Tallapoosa ,AL,41144,40727,-1.02,20.0,30.99,32.41,-16.66666667,-22.72727273,20,17,8,45.08,6,1,36,0,,247876.22,16.98,1,0.0,13.7,36.9,1,17.28,22.15,39051.0,21.7,0,34.5,0.0,-39.05543097,-1.848239474
62, Alabama,Tuscaloosa ,AL,198581,206102,3.65,-22.22,14.24,10.08,1.898734177,5.769230769,161,110,22,173.83,21,4,112,3,,253898.37,16.98,3,2.0,12.3,34.3,17,10.81,21.47,47868.0,20.0,0,25.1,0.0,-19.84405391,-1.848239474
63, Alabama,Walker ,AL,66211,64967,-1.91,-16.67,20.16,22.48,-8.888888889,-12.82051282,41,34,10,75.0,10,2,45,0,,256095.97,16.98,1,0.0,16.7,33.2,4,16.25,22.54,37305.0,20.6,0,31.1,0.0,-26.65117498,-1.848239474
64, Alabama,Washington ,AL,17115,16756,-2.14,-33.33,-9.62,-7.71,-25.0,0.0,3,6,4,15.67,2,0,9,0,,78852.31,16.98,1,0.0,17.8,40.2,0,14.73,25.5,42658.0,22.4,0,31.5,0.0,1.106074893,-1.848239474
65, Alabama,Wilcox ,AL,11355,10986,-3.36,-30.0,-9.09,-5.41,-16.66666667,-16.66666667,5,5,6,19.17,7,0,8,0,,112380.32,16.98,3,0.0,19.3,44.9,0,15.01,26.99,23014.0,33.2,1,49.2,1.0,-7.580348145,-1.848239474
66, Alabama,Winston ,AL,24171,23805,-1.54,0.0,2.95,4.26,-16.66666667,-21.05263158,10,15,7,26.17,8,0,18,0,,199345.73,16.98,1,1.0,13.2,30.2,1,17.7,21.64,36497.0,18.9,0,29.3,0.0,-17.54281978,-1.848239474
67, Alaska,Aleutians East ,AK,3285,3296,0.33,0.0,0.0,-4.1,0.0,0.0,1,1,3,5.0,4,0,0,0,,63889.66,11.56,0,0.0,7.6,33.4,0,4.93,11.81,57015.0,17.4,0,15.5,0.0,-23.72643306,-1.418704159
68, Alaska,Aleutians West ,AK,5688,5647,-0.73,0.0,-26.15,-27.46,-100.0,-33.33333333,0,2,3,4.0,3,0,1,0,,91141.78,11.56,1,0.0,6.2,39.4,0,3.47,14.66,80695.0,8.5,0,8.5,0.0,-1.379935942,-1.418704159
69, Alaska,Anchorage Municipality,AK,298527,298192,-0.11,-13.51,5.23,5.38,-1.4492753619999998,11.05769231,204,231,25,122.33,32,12,60,19,,467186.64,11.56,10,5.0,7.0,27.0,41,7.24,25.97,77791.0,8.7,0,12.4,0.0,-12.64015235,-1.418704159
70, Alaska,Bethel ,AK,17695,17968,1.52,-12.0,-11.01,-12.11,40.0,75.0,7,7,16,50.5,22,0,7,0,,425981.25,11.56,0,0.0,5.8,30.3,0,6.12,36.55,44849.0,24.2,0,31.5,0.0,24.14830307,-1.418704159
71, Alaska,Bristol Bay ,AK,983,898,-9.47,-33.33,-50.0,-44.82,0.0,0.0,0,2,1,1.0,2,0,1,0,,0.0,11.56,0,0.0,8.5,39.7,0,8.32,22.57,66373.0,9.0,0,8.6,1.0,0.0,-1.418704159
72, Alaska,Denali Borough,AK,1913,1953,2.05,0.0,,,100.0,0.0,2,7,0,0.0,0,0,4,0,,0.0,11.56,0,0.0,5.8,27.0,0,7.5,22.51,73000.0,6.6,0,10.2,0.0,0.0,-1.418704159
73, Alaska,Dillingham ,AK,4963,4954,-0.18,20.0,-9.26,-7.79,,-33.33333333,1,2,6,8.17,6,0,3,0,,345043.86,11.56,1,0.0,7.2,38.0,0,7.57,32.91,50753.0,20.0,0,30.4,0.0,1.7875028640000001,-1.418704159
74, Alaska,Fairbanks North Star Borough,AK,100330,100605,0.27,-12.5,9.36,9.0,13.95348837,10.16949153,49,65,8,27.25,7,4,27,7,,523589.4,11.56,3,2.0,5.5,28.1,11,6.53,25.62,70881.0,8.1,0,10.1,0.0,-21.16804384,-1.418704159
75, Alaska,Haines ,AK,2572,2496,-3.04,0.0,0.0,2.24,0.0,0.0,1,6,2,3.0,3,0,0,0,,0.0,11.56,1,0.0,7.9,25.5,0,13.76,19.9,57876.0,10.9,0,20.2,0.0,0.0,-1.418704159
76, Alaska,Hoonah-Angoon Census Area,AK,2131,2078,-2.55,,-14.29,-12.18,0.0,0.0,2,3,2,6.0,4,0,3,1,,104228.47,11.56,0,0.0,7.3,31.8,0,13.4,19.72,53726.0,16.2,0,29.2,1.0,5.564634278,-1.418704159
77, Alaska,Juneau ,AK,32434,32468,0.1,-14.29,-10.76,-10.52,40.90909091,-9.375,31,29,5,11.75,6,3,9,5,,476496.26,11.56,2,0.0,5.9,28.6,9,8.43,23.46,82892.0,8.0,0,10.1,0.0,-2.606079871,-1.418704159
78, Alaska,Kenai Peninsula ,AK,56952,58506,2.66,-9.52,9.8,6.79,8.333333332999999,11.5942029,39,77,11,37.33,19,2,24,7,,248258.46,11.56,6,1.0,7.2,28.4,10,11.33,23.67,62025.0,11.4,0,14.0,0.0,-17.94073264,-1.418704159
79, Alaska,Ketchikan Gateway Borough,AK,13711,13746,0.25,33.33,0.0,0.24,71.42857143,-7.692307692000001,12,12,3,8.0,4,0,4,5,,507825.42,11.56,0,0.0,8.9,30.8,3,10.14,23.94,65314.0,10.3,0,14.4,0.0,-9.6940701,-1.418704159
80, Alaska,Kodiak Island ,AK,14051,13732,-2.32,25.0,-10.74,-7.45,16.66666667,22.22222222,7,11,3,9.0,5,0,1,2,,172333.16,11.56,0,0.0,6.6,30.2,0,6.73,28.65,67515.0,7.5,0,9.3,0.0,-16.30144711,-1.418704159
81, Alaska,Kusilvak ,AK,7792,8049,3.19,0.0,36.0,44.01,0.0,0.0,0,0,3,8.5,1,0,0,0,,89282.25,11.56,0,0.0,7.4,31.9,0,7.79,30.17,42120.0,19.3,0,31.4,0.0,26.72853275,-1.418704159
82, Alaska,Lake and Peninsula ,AK,1644,1562,-5.25,-23.08,19.82,7.83,19.44444444,11.11111111,43,50,8,43.83,10,3,21,3,,381813.34,11.56,8,1.0,8.2,30.2,6,7.94,28.9,76601.0,9.8,0,11.8,0.0,-25.93515161,-1.418704159
83, Alaska,Matanuska-Susitna Borough,AK,93791,104365,10.13,13.33,-9.91,-9.93,-75.0,100.0,1,10,18,25.75,17,0,1,0,,394651.91,11.56,0,0.0,6.0,31.7,0,6.35,34.33,52952.0,21.4,0,27.6,0.0,16.45150769,-1.418704159
84, Alaska,Nome,AK,9873,9917,0.44,-20.0,-5.77,-5.41,-50.0,0.0,2,5,8,12.25,8,0,3,0,,251279.89,11.56,0,0.0,6.5,36.5,1,4.26,23.87,70834.0,12.6,0,17.6,0.0,-13.65703438,-1.418704159
85, Alaska,North Slope ,AK,9662,9606,-0.58,16.67,11.84,13.84,100.0,0.0,2,1,14,21.25,7,0,3,0,,293506.61,11.56,0,0.0,6.5,32.4,0,6.05,35.29,53774.0,26.3,0,34.9,0.0,-6.958729523,-1.418704159
86, Alaska,Northwest Arctic ,AK,7721,7673,-0.63,,33.33,62.76,0.0,0.0,4,1,3,4.0,3,0,4,2,,180835.06,11.56,0,0.0,7.1,30.5,0,11.48,23.36,63098.0,7.9,0,10.3,0.0,0.0,-1.418704159
87, Alaska,Petersburg ,AK,3263,3149,-3.62,,-10.64,-19.03,0.0,0.0,3,2,4,7.0,6,0,6,1,,265761.93,11.56,0,0.0,7.3,35.2,0,10.06,25.62,45305.0,15.6,0,23.8,0.0,3.844545666,-1.418704159
88, Alaska,Prince of Wales-Hyder ,AK,6375,6347,-0.44,0.0,0.0,2.45,0.0,-20.0,4,8,3,3.17,4,0,2,0,,358411.73,11.56,1,1.0,6.7,28.7,1,11.35,23.53,68472.0,9.2,0,10.4,0.0,0.0,-1.418704159
89, Alaska,Sitka ,AK,9048,8830,-2.47,,0.0,-11.86,0.0,0.0,2,10,0,1.0,2,0,1,0,,,11.56,0,0.0,6.4,28.1,0,9.09,15.7,65878.0,3.7,0,6.3,1.0,0.0,-1.418704159
90, Alaska,Skagway ,AK,990,1088,9.01,-25.0,-14.29,-10.94,-66.66666667,-12.5,2,7,3,6.0,3,0,6,0,,202538.2,11.56,1,0.0,6.9,33.1,0,9.45,26.31,60203.0,13.5,0,21.4,0.0,-9.128508507000001,-1.418704159
91, Alaska,Southeast Fairbanks ,AK,7179,6876,-4.41,0.0,-3.57,0.16,0.0,50.0,9,15,5,15.75,8,0,7,2,,65757.79,11.56,3,0.0,7.4,30.4,2,8.28,24.37,70101.0,9.5,0,12.2,0.0,-13.52543215,-1.418704159
92, Alaska,Valdez-Cordova ,AK,9729,9355,-4.0,-17.65,-10.34,,0.0,0.0,0,0,16,19.5,14,0,1,0,,579463.6,11.56,0,0.0,4.6,32.6,0,5.42,41.57,0.0,0.0,1,0.0,0.0,17.494915300000002,-1.418704159
93, Alaska,Wrangell ,AK,2402,2411,0.37,,-20.0,-20.27,0.0,0.0,1,1,2,2.0,2,0,1,0,,0.0,11.56,0,0.0,8.9,30.6,0,15.79,21.95,54500.0,12.0,0,16.0,0.0,0.0,-1.418704159
94, Alaska,Yakutat ,AK,657,601,-9.32,0.0,0.0,11.15,-100.0,0.0,0,0,2,2.0,2,0,0,0,,0.0,11.56,0,0.0,7.9,31.3,0,9.67,24.47,53795.0,15.4,0,26.1,0.0,0.0,-1.418704159
95, Alaska,Yukon-Koyukuk ,AK,5728,5526,-3.66,-25.0,-13.02,-9.17,0.0,-50.0,0,1,10,33.42,9,0,4,0,,83256.19,11.56,1,0.0,8.3,28.3,0,10.18,27.77,37755.0,23.4,1,34.4,1.0,-8.443203225,-1.418704159
