,FIPS,State,County,FastFoodRestaurant,Change(%)FastfoodRestaurant,FullServiceRestaurants,Change(%)FSerRestaurants,PCH_REDEMP_SNAPS_12_16,PCH_SNAP_12_16,Adult Diabetes Rate(%),Adult Obesity(%),No. of Recreation and Fitness Facilities,FMRKT16,FMRKT_SNAP16,"SNAP-authorized stores (% change), 2012-16","SNAP-authorized stores/1,000 pop (% change), 2012-16",Population>65 Yrs(%),Poulation<18(%),Median House Hold Income,Poverty Rate(%),Persistent Poverty Counties,Child Poverty Rate(%),Population Loss Counties,LowAccesstoStores,LowAccess&LowIncomeToStores
22,1045,AL,Dale,34,3.03030303,30,-3.225806452,-37.16227427,-1.848239474,14.1,36.5,2,2,0.0,42.6,46.13,13.4504786,24.82935663,45294.0,18.5,0,29.0,0.0,14036.970119999998,5306.194211
23,1047,AL,Dallas,19,-5.0,15,-6.25,1.642463574,-1.848239474,19.0,40.8,2,1,1.0,-13.49,-7.32,14.068918300000002,26.46052031,29682.0,34.6,1,50.1,1.0,7640.0568680000015,5063.957922
24,1049,AL,DeKalb,43,4.87804878,31,-11.42857143,-9.511560862,-1.848239474,13.4,30.4,3,2,0.0,-2.19,-1.94,13.88713102,25.82795427,37305.0,20.6,0,28.9,0.0,2679.852662,1540.906864
25,1051,AL,Elmore,45,55.17241379,38,11.76470588,-29.68511001,-1.848239474,13.4,35.4,4,2,0.0,13.81,12.19,11.89866714,23.58927153,53548.0,14.0,0,19.9,0.0,15064.36659,5506.02451
26,1053,AL,Escambia,27,22.72727273,20,0.0,-18.32671702,-1.848239474,17.8,37.7,2,3,0.0,6.31,7.06,15.16741042,22.64933845,36840.0,24.4,1,32.0,0.0,5058.7754030000015,2766.608819
27,1055,AL,Etowah,79,-3.658536585,57,5.555555556,-32.82348938,-1.848239474,16.8,35.1,9,3,0.0,16.42,18.49,15.80771809,22.96849564,42145.0,19.0,0,30.7,0.0,23289.82682,9817.063943
28,1057,AL,Fayette,9,-25.0,9,80.0,-3.304390568,-1.848239474,15.1,33.7,0,1,0.0,-6.58,-4.11,17.88759353,22.25508961,37085.0,20.4,0,29.4,0.0,407.3867531,233.5222242
29,1059,AL,Franklin,18,-18.18181818,16,-5.8823529410000015,-25.37415454,-1.848239474,13.9,33.2,3,2,1.0,5.69,6.14,15.21889982,24.81390361,38535.0,21.1,0,32.4,0.0,3663.441736,1306.401173
30,1061,AL,Geneva,10,0.0,11,37.5,-36.78298224,-1.848239474,13.9,34.1,0,0,,37.77,39.41,17.44680851,22.36282195,36289.0,22.4,0,34.8,0.0,605.1933947000001,249.3572474
31,1063,AL,Greene,1,0.0,2,-33.33333333,-29.55479074,-1.848239474,21.0,46.3,0,2,0.0,12.09,18.13,16.07517966,24.2564953,25398.0,37.7,1,54.7,1.0,2962.991009,1930.426929
32,1065,AL,Hale,7,40.0,4,-20.0,-16.30464174,-1.848239474,16.0,40.4,1,1,0.0,-3.31,-0.5,15.03807107,24.84137056,35470.0,28.5,1,38.6,0.0,1864.54135,732.4471013
33,1067,AL,Henry,10,0.0,11,22.22222222,3.457883464,-1.848239474,18.7,35.8,0,2,0.0,-14.69,-14.08,17.59334181,22.64478095,42501.0,17.0,0,27.5,0.0,805.472428,370.6379022
34,1069,AL,Houston,97,16.86746988,77,2.666666667,-19.29862531,-1.848239474,13.7,32.8,7,3,0.0,14.53,13.81,14.45143628,24.54626922,43568.0,18.3,0,29.5,0.0,18340.74904,6379.7978520000015
35,1071,AL,Jackson,29,-3.333333333,25,-13.79310345,-21.9369361,-1.848239474,14.9,32.0,0,1,0.0,-4.24,-2.62,16.48223646,22.51676781,40201.0,18.4,0,26.9,0.0,4218.966738,1741.859186
36,1073,AL,Jefferson,642,11.07266436,376,2.173913043,-19.37971521,-1.848239474,13.0,33.2,70,17,4.0,7.81,7.89,13.12793675,23.46787837,48415.0,18.0,0,26.2,0.0,205657.8678,80804.25186
37,1075,AL,Lamar,6,-14.28571429,10,0.0,-26.68564215,-1.848239474,14.9,33.6,0,1,0.0,12.84,15.6,18.75858281,22.15737435,36520.0,24.7,0,33.8,0.0,229.9526122,109.3285386
38,1077,AL,Lauderdale,72,18.03278689,70,14.75409836,-28.08444235,-1.848239474,14.2,32.9,9,1,0.0,14.15,14.43,16.77614903,21.55346299,43008.0,17.3,0,23.9,0.0,12476.09671,4670.748106
39,1079,AL,Lawrence,16,-36.0,17,13.33333333,-14.66325505,-1.848239474,15.6,35.5,2,1,1.0,-1.84,-0.09,14.55779143,23.19228865,41771.0,18.7,0,26.4,0.0,1648.244355,728.8412136
40,1081,AL,Lee,128,18.51851852,109,15.95744681,-26.53747636,-1.848239474,9.5,29.0,8,4,1.0,17.88,9.18,9.06686061,22.52525901,46442.0,21.0,0,20.7,0.0,36835.88687,17179.56149
41,1083,AL,Limestone,51,13.33333333,39,11.42857143,-33.51424832,-1.848239474,12.6,32.9,6,1,0.0,20.94,14.29,12.30581527,23.98951463,55060.0,14.3,0,18.8,0.0,9339.421673,2912.563689
42,1085,AL,Lowndes,0,-100.0,2,,-15.07242975,-1.848239474,23.5,45.1,1,1,0.0,-1.0,3.77,14.64731392,24.1791309,31117.0,35.2,1,46.7,0.0,2539.864392,1475.891758
43,1087,AL,Macon,9,-10.0,2,-60.0,-40.73554878,-1.848239474,18.4,44.7,0,1,0.0,31.41,42.3,14.12921872,20.60413947,29522.0,32.2,1,46.1,1.0,8050.779305,4641.926293
44,1089,AL,Madison,330,10.0,226,1.801801802,-21.20961899,-1.848239474,11.5,32.3,49,7,3.0,25.3,20.43,12.2077829,23.74175281,59117.0,13.3,0,19.1,0.0,88544.03045,25001.49288
45,1091,AL,Marengo,19,18.75,9,-25.0,-4.921525141,-1.848239474,20.2,40.3,1,3,0.0,-5.21,-1.7,16.28382556,24.6873068,35389.0,23.3,1,34.8,1.0,5125.005617,2655.493659
46,1093,AL,Marion,17,-34.61538462,20,0.0,-22.30026205,-1.848239474,18.7,35.5,2,2,0.0,15.69,16.96,18.34221471,21.65648557,34977.0,19.8,0,30.4,0.0,1929.43172,1001.618039
47,1095,AL,Marshall,71,1.428571429,60,-14.28571429,-23.84705314,-1.848239474,12.8,33.2,4,3,0.0,20.93,20.45,14.90233178,25.00456896,40599.0,20.1,0,32.7,0.0,10484.79843,4825.365658
48,1097,AL,Mobile,253,0.0,217,2.358490566,-20.7999992,-1.848239474,15.6,37.1,30,5,0.0,10.56,10.32,12.91090384,25.0806311,42530.0,18.4,0,26.9,0.0,103768.6435,42397.45022
49,1099,AL,Monroe,9,-10.0,10,25.0,-17.54832549,-1.848239474,17.8,35.3,1,2,0.0,1.63,6.69,15.684064499999998,25.32079071,35163.0,28.6,1,35.7,0.0,5711.640664000001,2961.822010000001
50,1101,AL,Montgomery,210,24.26035503,141,1.438848921,-19.46707709,-1.848239474,13.5,34.8,19,3,0.0,17.56,19.53,11.95528485,24.48825661,42666.0,22.8,0,33.8,0.0,66180.65497999999,33423.099910000004
51,1103,AL,Morgan,99,-1.0,67,17.54385965,-32.03456169,-1.848239474,12.6,31.6,9,3,1.0,28.9,30.4,14.11917315,23.95514269,47234.0,16.4,0,24.0,0.0,15514.27958,4880.212745000002
52,1105,AL,Perry,1,-50.0,6,20.0,10.03619912,-1.848239474,21.7,43.0,0,1,0.0,-36.0,-31.94,16.70286092,24.10537249,26218.0,40.0,1,54.4,1.0,881.5494764,517.3827951999998
53,1107,AL,Pickens,8,33.33333333,6,0.0,-23.11534424,-1.848239474,16.4,36.4,1,2,0.0,4.53,-0.2,16.89456092,23.30092171,33160.0,24.3,1,35.3,0.0,529.13864,176.1656846
54,1109,AL,Pike,33,10.0,22,10.0,-12.26320669,-1.848239474,13.5,38.4,2,1,0.0,-1.87,-2.17,12.79978115,20.31064774,34442.0,25.9,1,36.0,0.0,4535.4971380000015,2074.066321
55,1111,AL,Randolph,9,-18.18181818,7,-58.82352941,-38.21344809,-1.848239474,14.9,30.9,0,2,1.0,35.78,35.92,16.96853315,23.88600358,37333.0,18.7,0,31.7,0.0,3374.629464,1561.631639
56,1113,AL,Russell,44,0.0,21,-16.0,-32.53141827,-1.848239474,12.9,36.4,3,1,0.0,20.82,20.09,12.69193722,25.49530663,36124.0,23.0,0,36.3,0.0,6225.855694,2936.812958
57,1115,AL,St. Clair,49,2.083333333,44,-8.333333332999999,-32.34385914,-1.848239474,12.8,33.0,2,1,0.0,12.03,8.48,13.05013578,23.7172969,53558.0,12.4,0,17.5,0.0,4561.840118,1310.619878
58,1117,AL,Shelby,141,10.15625,132,-0.7518796990000001,-26.78797228,-1.848239474,8.7,30.1,27,8,1.0,26.46,20.65,10.57333983,25.61037496,70879.0,8.5,0,10.2,0.0,47122.31837,8393.492715999999
59,1119,AL,Sumter,7,0.0,6,20.0,-30.88218587,-1.848239474,20.1,40.3,1,1,0.0,23.15,26.81,14.98946451,22.29165153,25931.0,33.2,1,44.2,1.0,2304.5253780000007,1427.620249
60,1121,AL,Talladega,49,0.0,37,-17.77777778,-27.88577927,-1.848239474,15.3,39.0,0,1,1.0,6.72,8.93,14.08537993,23.43512656,37911.0,22.4,0,31.1,0.0,11038.38725,4817.8620409999985
61,1123,AL,Tallapoosa,20,-16.66666667,17,-22.72727273,-39.05543097,-1.848239474,13.7,36.9,1,1,0.0,30.99,32.41,17.28421761,22.15253749,39051.0,21.7,0,34.5,0.0,3484.730858,1799.873021
62,1125,AL,Tuscaloosa,161,1.898734177,110,5.769230769,-19.84405391,-1.848239474,12.3,34.3,17,3,2.0,14.24,10.08,10.81394871,21.46658721,47868.0,20.0,0,25.1,0.0,34859.58024,12641.04349
63,1127,AL,Walker,41,-8.888888889,34,-12.82051282,-26.65117498,-1.848239474,16.7,33.2,4,1,0.0,20.16,22.48,16.25412172,22.54002357,37305.0,20.6,0,31.1,0.0,7858.659654000001,3491.945044
64,1129,AL,Washington,3,-25.0,6,0.0,1.106074893,-1.848239474,17.8,40.2,0,1,0.0,-9.62,-7.71,14.73181275,25.50480633,42658.0,22.4,0,31.5,0.0,1478.896947,630.0267183999998
65,1131,AL,Wilcox,5,-16.66666667,5,-16.66666667,-7.580348145,-1.848239474,19.3,44.9,0,3,0.0,-9.09,-5.41,15.01285347,26.99228792,23014.0,33.2,1,49.2,1.0,4997.128568,3555.2358619999995
66,1133,AL,Winston,10,-16.66666667,15,-21.05263158,-17.54281978,-1.848239474,13.2,30.2,1,1,1.0,2.95,4.26,17.69727169,21.64270544,36497.0,18.9,0,29.3,0.0,1459.032655,650.0533452999998
67,2013,AK,Aleutians East,1,0.0,1,,-23.72643306,-1.418704159,7.6,33.4,0,0,,0.0,-4.1,4.934734161000001,11.81152499,57015.0,17.4,0,15.5,0.0,2203.00003,1097.387178
68,2016,AK,Aleutians West,0,-100.0,2,-33.33333333,-1.379935942,-1.418704159,6.2,39.4,0,1,0.0,-26.15,-27.46,3.470598813,14.65563748,80695.0,8.5,0,8.5,0.0,1243.229053,476.8027975
69,2020,AK,Anchorage,204,-1.4492753619999998,231,11.05769231,-12.64015235,-1.418704159,7.0,27.0,41,10,5.0,5.23,5.38,7.243700013,25.96958462,77791.0,8.7,0,12.4,0.0,80039.72364,14923.51128
70,2050,AK,Bethel,7,40.0,7,75.0,24.14830307,-1.418704159,5.8,30.3,0,0,,-11.01,-12.11,6.118850291,36.54852172,44849.0,24.2,0,31.5,0.0,11504.86349,7143.3501700000015
71,2060,AK,Bristol Bay,0,0.0,2,0.0,,-1.418704159,8.5,39.7,0,0,,-50.0,-44.82,8.324974925,22.56770311,66373.0,9.0,0,8.6,1.0,996.9999981,176.10243359999996
72,2068,AK,Denali,2,100.0,7,0.0,,-1.418704159,5.8,27.0,0,0,,,,7.502738226,22.50821468,73000.0,6.6,0,10.2,0.0,1826.000014,418.7696352
73,2070,AK,Dillingham,1,,2,-33.33333333,1.787502864,-1.418704159,7.2,38.0,0,1,0.0,-9.26,-7.79,7.571693831,32.90695275,50753.0,20.0,0,30.4,0.0,2461.509666,1560.616205
74,2090,AK,Fairbanks North Star,49,13.95348837,65,10.16949153,-21.16804384,-1.418704159,5.5,28.1,11,3,2.0,9.36,9.0,6.533034095,25.62076634,70881.0,8.1,0,10.1,0.0,33612.38394,7100.793605
75,2100,AK,Haines,1,0.0,6,0.0,,-1.418704159,7.9,25.5,0,1,0.0,0.0,2.24,13.75598086,19.89633174,57876.0,10.9,0,20.2,0.0,518.8941366,186.6198209
76,2105,AK,Hoonah-Angoon,2,,3,,5.564634278,-1.418704159,7.3,31.8,0,0,,-14.29,-12.18,13.39534884,19.72093023,53726.0,16.2,0,29.2,1.0,2136.904788,833.5112167000002
77,2110,AK,Juneau,31,40.90909091,29,-9.375,-2.606079871,-1.418704159,5.9,28.6,9,2,0.0,-10.76,-10.52,8.425259792,23.45643485,82892.0,8.0,0,10.1,0.0,10062.6729,1847.190111
78,2122,AK,Kenai Peninsula,39,8.333333332999999,77,11.5942029,-17.94073264,-1.418704159,7.2,28.4,10,6,1.0,9.8,6.79,11.32851986,23.66606498,62025.0,11.4,0,14.0,0.0,10888.78506,3232.789851
79,2130,AK,Ketchikan Gateway,12,71.42857143,12,-7.692307692000001,-9.6940701,-1.418704159,8.9,30.8,3,0,,0.0,0.24,10.14320695,23.94449803,65314.0,10.3,0,14.4,0.0,1062.598917,217.50164730000003
80,2150,AK,Kodiak Island,7,16.66666667,11,22.22222222,-16.30144711,-1.418704159,6.6,30.2,0,0,,-10.74,-7.45,6.731901118,28.64920541,67515.0,7.5,0,9.3,0.0,1948.659208,626.0822675
81,2164,AK,Lake and Peninsula,0,0.0,0,0.0,26.72853275,-1.418704159,7.4,31.9,0,0,,36.0,44.01,7.786633967,30.16554261,42120.0,19.3,0,31.4,0.0,1628.68562,709.7515764
82,2170,AK,Matanuska-Susitna,43,19.44444444,50,11.11111111,-25.93515161,-1.418704159,8.2,30.2,6,8,1.0,19.82,7.83,7.943142872999999,28.89937637,76601.0,9.8,0,11.8,0.0,23011.25533,6784.926225
83,2180,AK,Nome,1,-75.0,10,100.0,16.45150769,-1.418704159,6.0,31.7,0,0,,-9.91,-9.93,6.352718078,34.33417615,52952.0,21.4,0,27.6,0.0,5276.007638,3615.820303
84,2185,AK,North Slope,2,-50.0,5,0.0,-13.65703438,-1.418704159,6.5,36.5,1,0,,-5.77,-5.41,4.262990456,23.87062566,70834.0,12.6,0,17.6,0.0,5522.182352000002,1244.494401
85,2188,AK,Northwest Arctic,2,100.0,1,,-6.958729523,-1.418704159,6.5,32.4,0,0,,11.84,13.84,6.048119101,35.2917719,53774.0,26.3,0,34.9,0.0,4322.062938,2561.965826
86,2195,AK,Petersburg,4,,1,,,-1.418704159,7.1,30.5,0,0,,33.33,62.76,11.48099607,23.35517693,63098.0,7.9,0,10.3,0.0,180.2305477,25.25958408
87,2198,AK,Prince of Wales-Hyder,3,,2,,3.844545666,-1.418704159,7.3,35.2,0,0,,-10.64,-19.03,10.05576543,25.61611801,45305.0,15.6,0,23.8,0.0,1758.792648,820.7861325
88,2220,AK,Sitka,4,0.0,8,-20.0,,-1.418704159,6.7,28.7,1,1,1.0,0.0,2.45,11.35007319,23.53338588,68472.0,9.2,0,10.4,0.0,1632.249762,367.0434028
89,2230,AK,Skagway,2,,10,,,-1.418704159,6.4,28.1,0,0,,0.0,-11.86,9.090909091,15.70247934,65878.0,3.7,0,6.3,1.0,2.999953762,0.488926064
90,2240,AK,Southeast Fairbanks,2,-66.66666667,7,-12.5,-9.128508507000001,-1.418704159,6.9,33.1,0,1,0.0,-14.29,-10.94,9.446578461,26.30530659,60203.0,13.5,0,21.4,0.0,3323.084476,1323.155916
91,2261,AK,Valdez-Cordova,9,0.0,15,50.0,-13.52543215,-1.418704159,7.4,30.4,2,3,0.0,-3.57,0.16,8.281444582999999,24.36695724,70101.0,9.5,0,12.2,0.0,5010.710886,1475.791806
92,2270,AK,Wade Hampton,0,0.0,0,0.0,17.494915300000002,-1.418704159,4.6,32.6,0,0,,-10.34,,5.41627564,41.57393753,,,1,,,4615.000002000002,3120.823723
93,2275,AK,Wrangell,1,,1,,,-1.418704159,8.9,30.6,0,0,,-20.0,-20.27,15.78725201,21.95018995,54500.0,12.0,0,16.0,0.0,510.6244347,155.5623274
94,2282,AK,Yakutat,0,-100.0,0,0.0,,-1.418704159,7.9,31.3,0,0,,0.0,11.15,9.667673716,24.47129909,53795.0,15.4,0,26.1,0.0,662.000001,167.84566840000005
95,2290,AK,Yukon-Koyukuk,0,0.0,1,-50.0,-8.443203225,-1.418704159,8.3,28.3,0,1,0.0,-13.02,-9.17,10.182534,27.773801,37755.0,23.4,1,34.4,1.0,5587.999995,2779.799148
96,4001,AZ,Apache,16,6.666666667,18,-5.263157895,0.107518935,-3.428615063,14.4,35.2,0,1,0.0,-15.41,-15.31,11.56072597,31.68433122,31072.0,38.0,1,44.7,0.0,50446.81414,33893.46295
97,4003,AZ,Cochise,61,17.30769231,96,-4.0,0.230078528,-3.428615063,10.3,26.0,8,4,3.0,-9.21,-4.65,17.27346094,23.03077368,43451.0,16.9,0,25.7,0.0,55218.5392,19006.01813
98,4005,AZ,Coconino,120,7.142857143,162,1.25,-33.16842603,-3.428615063,7.6,23.2,9,2,2.0,24.84,20.5,8.870637772,23.6480907,51955.0,19.5,0,20.7,0.0,41435.55369,18592.683
99,4007,AZ,Gila,34,3.03030303,55,12.24489796,-9.202487159,-3.428615063,11.2,27.5,1,2,1.0,-5.32,-6.05,23.22891207,21.40231729,41346.0,21.3,0,36.6,0.0,17451.06612,8482.627898
100,4009,AZ,Graham,16,0.0,12,-29.41176471,-18.27368331,-3.428615063,10.3,32.5,1,1,0.0,2.97,2.47,11.44814616,28.41214401,44169.0,22.9,0,26.9,0.0,13894.462769999998,7073.9486590000015
101,4011,AZ,Greenlee,2,-33.33333333,7,16.66666667,-11.22536395,-3.428615063,10.7,34.7,0,0,,3.48,-5.25,12.04219509,29.19284106,58854.0,10.1,0,11.3,0.0,5895.55885,2577.203931
102,4012,AZ,La Paz,15,0.0,30,25.0,-18.55830747,-3.428615063,14.8,32.0,0,0,,5.67,5.48,32.61750207,17.95109571,34835.0,22.2,0,36.9,0.0,8846.861616,3883.631241
103,4013,AZ,Maricopa,2781,4.001495886,2384,8.808763122,-21.78758987,-3.428615063,9.0,25.4,321,39,17.0,2.4,-4.86,12.12016818,26.40372302,56017.0,16.3,0,23.0,0.0,511215.5724,167933.0171
104,4015,AZ,Mohave,114,4.587155963,129,4.87804878,-34.26258055,-3.428615063,12.8,29.6,14,1,1.0,18.15,17.05,23.30732419,20.6133296,40360.0,17.4,0,29.8,0.0,88341.57712999998,40061.48198
105,4017,AZ,Navajo,54,-1.818181818,78,1.298701299,-18.51517989,-3.428615063,13.1,30.9,2,3,0.0,3.18,0.43,13.25372968,29.75644259,37658.0,28.1,1,36.7,0.0,41411.32608,26868.06071
106,4019,AZ,Pima,611,3.559322034,651,7.248764415,-23.54234056,-3.428615063,8.8,24.2,117,27,12.0,8.62,6.08,15.43391926,22.98526008,47107.0,18.7,0,27.7,0.0,218481.7301,75295.14972
107,4021,AZ,Pinal,115,-5.737704918,109,11.2244898,-20.10827026,-3.428615063,12.3,31.6,9,1,0.0,5.47,-2.39,13.85714666,26.53218724,50888.0,15.8,0,21.6,0.0,80761.85349,27067.65223
108,4023,AZ,Santa Cruz,27,-12.90322581,40,-2.43902439,-14.42024751,-3.428615063,8.0,23.0,2,5,1.0,9.46,12.6,13.1252636,30.70434416,34893.0,24.4,0,36.7,0.0,12583.42295,6073.507468
109,4025,AZ,Yavapai,128,-9.219858156,205,0.490196078,-35.66095056,-3.428615063,10.5,25.3,25,8,3.0,7.59,1.43,24.05642719,19.08184976,47220.0,15.1,0,23.4,0.0,68596.93595,26604.01532
110,4027,AZ,Yuma,117,13.59223301,77,-7.228915662999999,-11.65282456,-3.428615063,12.6,30.5,8,1,0.0,5.0,2.14,15.65560329,28.19142686,40426.0,21.1,0,30.8,0.0,39776.52701000001,18786.2454
111,5001,AR,Arkansas,11,-38.88888889,12,0.0,-32.73032401,-3.204842952,12.9,33.8,1,2,0.0,13.49,17.71,16.37835848,23.26620748,41179.0,20.7,0,30.5,1.0,7183.712662000001,3389.5324479999995
112,5003,AR,Ashley,15,15.38461539,6,-33.33333333,-7.343296249,-3.204842952,14.5,42.1,0,2,0.0,-12.31,-7.89,16.21745298,24.3902439,39871.0,19.6,0,31.2,1.0,4633.910247999999,2623.419202
113,5005,AR,Baxter,32,3.225806452,31,-29.54545455,-38.78182114,-3.204842952,16.0,32.3,4,3,0.0,28.11,28.06,28.08517814,18.08108303,36902.0,16.4,0,28.5,0.0,4618.030292,1834.515106
114,5007,AR,Benton,160,16.78832117,153,15.90909091,-36.43416043,-3.204842952,9.6,30.1,25,8,5.0,6.36,-4.36,12.19215773,27.94265809,60294.0,10.8,0,15.3,0.0,34546.61984,11738.24388
115,5009,AR,Boone,23,-8.0,25,8.695652174,-35.46115016,-3.204842952,12.4,33.9,2,3,1.0,14.35,14.42,18.08254071,23.2636913,40909.0,16.5,0,25.1,0.0,8411.784665000001,3821.824413
116,5011,AR,Bradley,6,50.0,6,20.0,-29.61176047,-3.204842952,13.1,39.0,1,0,,2.56,6.3,17.73548836,23.29683698,37331.0,28.0,1,40.2,0.0,1240.008348,595.3641567000002
117,5013,AR,Calhoun,2,0.0,3,50.0,-32.07959281,-3.204842952,13.7,34.2,0,0,,-14.29,-11.57,17.19448584,20.5290611,40526.0,16.7,0,23.1,1.0,3493.527961,1747.3162670000004
118,5015,AR,Carroll,15,-21.05263158,51,2.0,-30.51271652,-3.204842952,13.0,35.8,1,3,1.0,-0.7,-0.83,18.69489179,22.52787291,37587.0,16.6,0,27.7,0.0,1943.271178,1046.598113
119,5017,AR,Chicot,5,-16.66666667,2,-75.0,-41.55924168,-3.204842952,15.2,43.1,0,1,0.0,3.91,8.54,18.21186441,23.08474576,29968.0,31.4,1,43.2,1.0,7115.720566,3940.143675
120,5019,AR,Clark,19,-5.0,11,0.0,-45.51310777,-3.204842952,11.6,34.3,2,1,0.0,25.32,26.86,14.82931072,19.48249619,37856.0,22.5,0,28.2,0.0,9423.239634,4933.730696000001
